icao,name
AAA,Ansett Australia
AAB,Abelag Aviation
AAC,Army Air Corps
AAD,Aero Aviation Centre Ltd.
AAF,Aigle Azur
AAG,Air Atlantique
AAH,Aloha Airlines
AAI,Air Aurora
AAJ,Air Alma
AAK,Alaska Island Air
AAL,American Airlines
AAM,Aviation Management Corporation
AAN,Amsterdam Airlines
AAO,Atlantis Airlines (USA)
AAP,Aerovista Airlines
AAQ,Copterline
AAR,Asiana Airlines
AAS,Askari Aviation
AAT,Austrian Airtransport
AAU,Australia Asia Airlines
AAV,Astro Air International
AAW,Afriqiyah Airways
AAX,Afric'air Express
AAY,Allegiant Air
AAZ,Angus Aviation
ABA,Artem-Avia
ABB,African Business and Transportations
ABD,Air Atlanta Icelandic
ABE,Aban Air
ABF,Aerial Oy
ABG,Abakan-Avia
ABH,Hokuriki-Koukuu Company
ABI,Aviabus
ABJ,Abaet
ABK,Alberta Citylink
ABL,Air Busan
ABM,Aero Albatros
ABN,Air Fret Senegal
ABO,APSA Colombia
ABP,Aba Air
ABQ,Airblue
ABR,Air Contractors
ABS,Transwest Air
ABT,Air Brousse
ABU,Aerovias Bueno
ABV,Antrak Air
ABW,AirBridge Cargo
ABX,Airborne Express
ABY,Air Arabia
ABZ,ATA Brasil
ACA,Air Canada
ACC,Avcard Services
ACD,Academy Airlines
ACE,Race Cargo Airlines
ACF,Centro de Formacion Aeronautica de Canarias
ACG,Air Partner
ACI,Air Caledonie International
ACK,Nantucket Airlines
ACL,Itali Airlines
ACM,Air Caledonia
ACN,Central American Airlines
ACO,Aero Comondu
ACP,Astral Aviation
ACQ,Nuevo Continente
ACR,Aerocenter
ACS,Air Cess
ACU,Air Cargo Transportation System
ACV,Air Charter Service
ACW,Royal Air Force
ACX,Air Charters
ACY,Atlas Cargo Lines
ADA,Airservices Australia
ADB,Antonov Airlines
ADC,Air Atlantic Dominicana
ADD,Advanced Air Co.
ADE,Ada Air
ADG,Aerea Flying Training Organization
ADH,Air One
ADI,Audeli Air
ADJ,Abicar
ADK,ADC Airlines
ADL,Aero Dynamics
ADM,Aerolineas Dominicanas
ADN,Aerodienst GmbH
ADO,Hokkaido International Airlines
ADP,Aerodiplomatic
ADQ,Avion Taxi
ADR,Adria Airways
ADS,Aviones de Sonora
ADT,Air Dorval
ADU,Airdeal Oy
ADV,Advance Air Charters
ADW,Air Andaman
ADX,Anderson Aviation
ADY,Aerodyne
AEA,Air Europa
AEB,Aero Benin
AEC,Aerocesar
AED,Aerotrans Airlines
AEE,Aegean Airlines
AEF,Aero Lloyd (YP)
AEG,Aerofumigaciones Sam
AEH,Aviaexpress
AEI,Aeroexpreso Interamericano
AEJ,Air Express
AEK,Aerocon
AEL,Air Europe
AEM,Aero Madrid
AEN,Aeroenlaces Nacionales
AEO,Aeroservicios Ejecutivos Del Occidente
AEP,Aerotec
AEQ,Air Express
AER,Alaska Central Express
AES,ACES Colombia
AET,Aeronautical Radio of Thailand
AEU,Astraeus
AEV,Aeroventas
AEW,Aerosvit Airlines
AEX,Airway Express
AEY,Air Italy
AEZ,Aerial Transit Company
AFA,Alfa Air
AFB,American Falcon
AFC,African West Air
AFD,Panorama Flight Service
AFE,Airfast Indonesia
AFG,Ariana Afghan Airlines
AFH,Air Fecteau
AFI,Africaone
AFJ,Alliance
AFK,Africa Air Links
AFL,Aeroflot Russian Airlines
AFO,Aero Empresa Mexicana
AFP,Portuguese Air Force
AFQ,Alba Servizi Aerotrasporti
AFR,Air France
AFS,Air Data
AFU,Afrinat International Airlines
AFV,Air Afrique Vacancies
AFW,Afrique Regional Airways
AFX,Airfreight Express
AFY,Africa Chartered Services
AFZ,Africa Freight Services
AGA,Aeronaves Del Centro
AGB,Air Service Gabon
AGC,Arab Agricultural Aviation Company
AGE,Servicios Aereos de Los Angeles
AGF,Atlantic Gulf Airlines
AGG,Algoma Airways
AGH,Altagna
AGM,Air Guam
AGN,Air Gabon
AGO,Angola Air Charter
AGP,AERFI Group
AGQ,Aerogala
AGR,United States Department Of Agriculture
AGT,Amadeus Global Travel Distribution
AGU,Angara Airlines
AGV,Air Glaciers
AGW,Aero Gambia
AGX,Aviogenex
AGY,Aero Flight Service
AGZ,Agrolet-Mci
AHA,Air Alpha Greenland
AHC,Azal Avia Cargo
